MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	102.57642	Sec
Channel 1 Displacement	Channel 1 Force	Time
mm	N	Sec
-0.35960722	-278.83908	45.017334
-0.36319759	-281.88678	45.117432
-0.36192951	-282.78543	45.217529
-0.36269987	-289.0397	45.317627
-0.36331734	-291.02243	45.417725
-0.36560386	-291.90854	45.517822
-0.36535314	-290.61078	45.61792
-0.366759	-288.13406	45.718018
-0.36704144	-292.6781	45.818115
-0.36696857	-295.47583	45.918213
-0.36685354	-297.47946	46.018311
-0.36748713	-299.87033	46.118408
-0.36727387	-305.76044	46.218506
-0.36760318	-303.05569	46.318604
-0.37063566	-305.29041	46.418701
-0.3724758	-305.22812	46.518799
-0.37257937	-308.89194	46.618896
-0.37175947	-311.41617	46.718994
-0.37535295	-310.23215	46.819092
-0.37724242	-314.83151	46.919189
-0.37465689	-310.771	47.019287
-0.37555045	-315.21033	47.119385
-0.37731364	-315.22733	47.219482
-0.37776187	-314.48917	47.31958
-0.37834474	-320.27905	47.419678
-0.38065311	-322.73135	47.519775
-0.38114801	-318.26443	47.619873
-0.38208619	-322.95264	47.719971
-0.38218668	-323.6767	47.820068
-0.38125831	-325.40866	47.920166
-0.38367644	-326.89493	48.020264
-0.38239729	-331.19656	48.120361
-0.38631311	-332.22546	48.220459
-0.38766363	-332.99341	48.320557
-0.38590929	-330.25266	48.420654
-0.38808361	-329.88507	48.520752
-0.38929173	-334.30124	48.62085
-0.39042294	-334.44775	48.720947
-0.3876096	-336.28943	48.821045
-0.39057091	-338.47604	48.921143
-0.39340124	-341.36295	49.02124
-0.39176044	-339.78818	49.121338
-0.39189079	-338.71207	49.221436
-0.39271703	-338.84177	49.321533
-0.39634794	-344.86572	49.421631
-0.39571697	-352.09296	49.521729
-0.39785159	-349.72479	49.621826
-0.39534059	-344.91388	49.721924
-0.3974492	-349.27118	49.822021
-0.3989619	-347.10818	49.922119
-0.39897069	-349.03394	50.022217
-0.39818621	-352.4982	50.122314
-0.40100318	-357.94623	50.222412
-0.40141559	-361.70386	50.32251
-0.40516892	-359.3013	50.422607
-0.40469453	-360.9509	50.522705
-0.40492928	-354.39612	50.622803
-0.40766171	-364.67697	50.7229
-0.40751559	-365.88275	50.822998
-0.40546304	-370.60504	50.923096
-0.40796483	-366.32901	51.023193
-0.40759948	-369.86047	51.123291
-0.40771493	-371.29205	51.223389
-0.40871572	-369.5593	51.323486
-0.41226131	-371.88971	51.423584
-0.41183376	-375.0878	51.523682
-0.41238841	-378.97821	51.623779
-0.41415706	-377.03278	51.723877
-0.41503552	-376.45746	51.823975
-0.41438651	-378.97717	51.924072
-0.41349709	-382.44839	52.02417
-0.41494709	-386.92072	52.124268
-0.41971192	-383.84698	52.224365
-0.41952279	-391.53931	52.324463
-0.41838607	-389.85284	52.424561
-0.41882059	-392.8541	52.524658
-0.41916832	-391.68787	52.624756
-0.42097956	-390.29788	52.724854
-0.42082039	-394.22296	52.824951
-0.42232829	-393.59006	52.925049
-0.42382234	-390.1315	53.025146
-0.42437285	-397.80176	53.125244
-0.42466572	-396.98404	53.225342
-0.42814356	-400.73062	53.325439
-0.4279604	-406.70416	53.425537
-0.42758277	-399.25397	53.525635
-0.42801994	-403.5097	53.625732
-0.42937177	-405.81964	53.72583
-0.43200028	-410.55609	53.825928
-0.43158582	-407.3598	53.926025
-0.43101299	-409.65292	54.026123
-0.43154389	-410.76279	54.126221
-0.43323115	-417.42944	54.226318
-0.43560338	-414.40674	54.326416
-0.43264988	-416.24927	54.426514
-0.43290919	-417.26349	54.526611
-0.43603581	-421.88623	54.626709
-0.43529207	-420.66895	54.726807
-0.43713099	-421.89465	54.826904
-0.43843815	-424.86017	54.927002
-0.44028851	-426.90207	55.0271
-0.43955255	-426.54758	55.127197
-0.44065118	-426.33554	55.227295
-0.44279337	-426.42178	55.327393
-0.4440017	-429.19946	55.42749
-0.44442374	-431.52454	55.527588
-0.44129133	-434.29736	55.627686
-0.4447557	-432.73892	55.727783
-0.44541615	-438.07547	55.827881
-0.44777304	-434.78766	55.927979
-0.44923803	-436.96536	56.028076
-0.44800839	-439.15668	56.128174
-0.45017293	-444.79929	56.228271
-0.4499259	-446.55768	56.328369
-0.4509955	-448.4689	56.428467
-0.45275351	-449.54227	56.528564
-0.45281389	-453.06161	56.628662
-0.45349646	-452.37836	56.72876
-0.45223039	-451.32028	56.828857
-0.4560408	-455.12036	56.928955
-0.45631015	-457.6962	57.029053
-0.45669737	-457.28906	57.12915
-0.45790082	-456.14374	57.229248
-0.45937747	-462.33536	57.329346
-0.46033061	-460.25345	57.429443
-0.46249345	-464.85278	57.529541
-0.46161747	-469.0993	57.629639
-0.46215963	-467.7923	57.729736
-0.46254012	-469.77969	57.829834
-0.46332234	-467.71954	57.929932
-0.46158719	-467.25632	58.030029
-0.46562663	-470.73611	58.130127
-0.46554762	-478.8555	58.230225
-0.46703389	-478.85876	58.330322
-0.46624473	-477.94742	58.43042
-0.46697536	-481.47867	58.530518
-0.46963003	-479.38165	58.630615
-0.46769744	-481.32806	58.730713
-0.46992108	-486.37039	58.830811
-0.47143868	-488.40781	58.930908
-0.47138646	-491.59073	59.031006
-0.47391042	-489.99506	59.131104
-0.47432199	-490.05466	59.231201
-0.4743005	-493.02002	59.331299
-0.47508904	-491.14941	59.431396
-0.47560459	-497.41263	59.531494
-0.47480291	-497.71442	59.631592
-0.47462812	-503.37595	59.731689
-0.47345686	-502.40851	59.831787
-0.47899276	-508.7561	59.931885
-0.4808403	-504.72247	60.031982
-0.48083147	-505.03333	60.13208
-0.48294646	-512.28058	60.232178
-0.47990108	-515.4726	60.332275
-0.48394725	-512.27301	60.432373
-0.48471558	-513.43311	60.532471
-0.48342699	-514.57886	60.632568
-0.48532936	-519.25751	60.732666
-0.48726654	-522.02594	60.832764
-0.48714986	-525.80591	60.932861
-0.49003664	-524.3313	61.032959
-0.49075931	-529.36774	61.133057
-0.48922452	-528.59509	61.233154
-0.49122122	-528.57831	61.333252
-0.49161986	-530.56793	61.43335
-0.49167225	-538.81592	61.533447
-0.49157771	-536.11859	61.633545
-0.48963958	-545.37421	61.733643
-0.49475139	-543.79395	61.83374
-0.49387345	-544.03815	61.933838
-0.49604407	-549.43286	62.033936
-0.49433127	-549.44971	62.134033
-0.49865171	-551.44464	62.234131
-0.49684942	-554.01007	62.334229
-0.49854285	-557.52106	62.434326
-0.50299489	-550.69391	62.534424
-0.50002933	-556.61896	62.634521
-0.50326705	-560.44849	62.734619
-0.5013392	-563.59796	62.834717
-0.50234181	-564.20758	62.934814
-0.50437516	-569.35376	63.034912
-0.50325704	-574.12909	63.13501
-0.50534886	-576.69775	63.235107
-0.50760818	-578.04388	63.335205
-0.50643218	-577.42615	63.435303
-0.50950599	-579.70306	63.5354
-0.50838524	-583.96619	63.635498
-0.5078665	-583.95392	63.735596
-0.50952828	-584.17047	63.835693
-0.51106185	-588.70178	63.935791
-0.51098943	-585.94647	64.035889
-0.51127756	-592.38055	64.135986
-0.51388973	-597.14423	64.236084
-0.51281542	-597.63928	64.336182
-0.51271415	-601.99274	64.436279
-0.51430315	-598.987	64.536377
-0.51790643	-607.45569	64.636475
-0.51814133	-603.974	64.736572
-0.51752287	-605.65161	64.83667
-0.51826292	-610.93774	64.936768
-0.51942092	-613.24091	65.036865
-0.52094835	-615.74384	65.136963
-0.52214146	-613.71222	65.237061
-0.52238035	-615.53198	65.337158
-0.52542698	-618.49194	65.437256
-0.52213967	-618.27087	65.537354
-0.52477264	-622.49738	65.637451
-0.52544498	-628.9823	65.737549
-0.52577657	-630.00104	65.837646
-0.52516621	-629.73138	65.937744
-0.52570409	-633.26422	66.037842
-0.52784532	-630.23535	66.137939
-0.53172016	-637.96686	66.238037
-0.53087288	-641.29034	66.338135
-0.53051513	-645.89771	66.438232
-0.53367019	-643.82892	66.53833
-0.53405786	-643.6781	66.638428
-0.5343712	-647.1424	66.738525
-0.53264362	-647.4469	66.838623
-0.53591514	-652.24078	66.938721
-0.53678513	-654.57367	67.038818
-0.53798759	-656.5636	67.138916
-0.53865045	-653.75891	67.239014
-0.53761649	-662.46643	67.339111
-0.53836477	-663.35461	67.439209
-0.54120755	-662.19739	67.539307
-0.53997755	-660.89349	67.639404
-0.54134446	-673.47467	67.739502
-0.54038972	-672.48834	67.8396
-0.54138827	-672.33466	67.939697
-0.54296684	-672.71515	68.039795
-0.54343265	-676.11963	68.139893
-0.54643768	-678.33795	68.23999
-0.54802591	-683.50031	68.340088
-0.54678786	-689.91742	68.440186
-0.54978186	-687.96539	68.540283
-0.54969835	-692.83478	68.640381
-0.55012059	-690.87036	68.740479
-0.55144519	-688.12787	68.840576
-0.55094355	-694.71362	68.940674
-0.55363244	-689.88196	69.040771
-0.55185431	-695.22357	69.140869
-0.55287069	-692.99481	69.240967
-0.55470163	-698.42621	69.341064
-0.55394006	-701.00104	69.441162
-0.55507284	-701.12231	69.54126
-0.55502635	-708.48663	69.641357
-0.55733174	-713.39886	69.741455
-0.55931652	-708.18585	69.841553
-0.55949849	-713.44946	69.94165
-0.55961531	-713.36853	70.041748
-0.56034434	-712.86938	70.141846
-0.55939883	-714.62286	70.241943
-0.56149846	-716.30402	70.342041
-0.56379741	-718.80054	70.442139
-0.56399041	-724.00433	70.542236
-0.56611997	-728.61737	70.642334
-0.56706452	-721.90601	70.742432
-0.56666988	-728.87946	70.842529
-0.56768441	-731.99969	70.942627
-0.56898421	-734.21826	71.042725
-0.56807697	-738.45074	71.142822
-0.56892812	-741.5567	71.24292
-0.57183373	-746.50781	71.343018
-0.57203144	-746.02759	71.443115
-0.5708164	-742.74176	71.543213
-0.57333678	-745.86365	71.643311
-0.57357728	-752.61292	71.743408
-0.57403308	-758.87921	71.843506
-0.57365751	-757.11823	71.943604
-0.57452321	-759.56189	72.043701
